"device_info_serial","date_time","latitude","longitude","altitude","pressure","temperature","satellites_used","gps_fixtime","positiondop","h_accuracy","v_accuracy","x_speed","y_speed","z_speed","speed_accuracy","location","userflag","speed_3d","speed_2d","direction","altitude_agl","frameid"
6387,"2023-05-01 00:00:45","52.8025532","5.2248377",-10,NULL,"25.2",6,"8.3","28","91","109","-0.56","0.28","-0.32","74","0101000020E6100000A6A1A1DA3BE614406BA63110BA664A40",0,"0.7031358332498778","0.40236249418313713","55.058768827441","-10",NULL
6387,"2023-05-01 00:15:40","52.8026026","5.2248572",-5,NULL,"29.4",6,"7.4","27","80","76","-1.11","-0.38","-0.65","49","0101000020E61000009D1441F740E61440A05797AEBB664A40",0,"1.341268056728408","0.5850203098343966","-28.2986794840385","-5",NULL
6387,"2023-05-01 00:30:45","52.8026569","5.2247073",-13,NULL,"30",5,"16.5","50","441","355","-2.09","-1.32","-0.29","326","0101000020E61000009AB0A2AB19E6144052B41776BD664A40",0,"2.4888953372932336","1.9377542982249063","-35.4613808608206","-13",NULL
6387,"2023-05-01 00:48:25","52.8027389","5.2246119",-22,NULL,"30.3",4,"36.5","73","585","455","0.36","0.83","-0.97","489","0101000020E6100000712B73A900E614400F5DF525C0664A40",0,"1.3264237633576985","1.2243626092799738","139.585486605909","-22",NULL
6387,"2023-05-01 01:03:31","52.8025823","5.2248773",0,NULL,"30.1",5,"14.7","35","400","438","-1.34","-0.61","0.12","211","0101000020E61000007D73243C46E614409A6C4D04BB664A40",0,"1.4771932845772082","1.2757173713713696","-22.3660119560632","0",NULL
6387,"2023-05-01 01:19:34","52.8025279","5.2248447",2,NULL,"29.4",6,"49.8","25","133","271","0","-0.06","-0.05","147","0101000020E61000003AB764B03DE614405450F63BB9664A40",0,"0.07810249675906655","0.0651130515709617","-113.415735000712","2",NULL
6387,"2023-05-01 01:35:13","52.8025452","5.2248639",1,NULL,"29",7,"12.8","22","180","289","-0.67","-1.06","-1.65","149","0101000020E61000003D34E2B842E61440E8C715CDB9664A40",0,"2.0724381776062706","1.0680087233151134","-111.369608939901","1",NULL
6387,"2023-05-01 01:50:20","52.8025355","5.2248842",-6,NULL,"29.7",7,"7.9","20","39","69","-0.61","0.02","-0.87","41","0101000020E61000006A8C310B48E614408330B77BB9664A40",0,"1.0627323275406653","0.08712635467343899","119.982936287631","-6",NULL
6387,"2023-05-01 02:05:18","52.8025462","5.2249623",-10,NULL,"30.2",5,"10","24","153","153","-1.52","2.04","-1.75","108","0101000020E6100000EE5465845CE61440B94379D5B9664A40",0,"3.087798568559808","2.169944449058302","90.0061239717877","-10",NULL
6387,"2023-05-01 02:20:12","52.8025489","5.2250643",-19,NULL,"30.8",5,"8.1","29","179","197","-1.69","1.9","-1.73","106","0101000020E610000010FD7F4177E614406B781FECB9664A40",0,"3.075548731527433","2.05201458583902","85.6158079526618","-19",NULL
